"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YJR008W",4209.43732215288,-4.20467465764259,0.562532590008004,-7.47454411056036,7.74719573323585e-14,8.88831574604715e-13
"YGR289C",3678.19769997711,-4.19236878485225,0.521424771192795,-8.04021791151564,8.9678849232903e-16,1.37275778571757e-14
"YKL217W",2027.25803780251,-4.1923069799316,0.603657331100734,-6.94484563334495,3.78874379466178e-12,3.31153560678453e-11
"YPL123C",327.108613013899,-4.18596420243669,0.510925385402368,-8.1929070702567,2.54991052868135e-16,4.20698495005785e-15
"YDL238C",139.923035938725,-4.18514043097914,0.622699480195231,-6.72096342471171,1.80526909426452e-11,1.44144568544831e-10
"YJL089W",194.824692803041,-4.1756402402097,0.545226667414437,-7.65853999770651,1.88058673813119e-14,2.38721930727297e-13
"YBR072W",35178.1045339705,-4.17372973429086,0.46227281870627,-9.02871543685302,1.73698710569002e-19,4.30487064072526e-18
"YBR296C",2687.52638287765,-4.17029092944297,0.686167823835075,-6.07765445213492,1.21953197108288e-09,7.41957548825663e-09
"YBR139W",922.070930366813,-4.16891261139432,0.489226079789789,-8.52144393689236,1.57576286509228e-17,3.01713792730879e-16
"YLR142W",1692.37770584687,-4.16404851631584,0.585471298586348,-7.11230170696694,1.14123438037284e-12,1.08892780460575e-11
"YLR307C-A",3616.47033432145,-4.16369071857533,0.543929186599597,-7.65483967610723,1.93553559789773e-14,2.45153568539037e-13
"YBR050C",1267.27551629516,-4.16145215131579,0.531397928462012,-7.83114108735799,4.83461763298409e-15,6.57439096171826e-14
"YDL222C",1525.28779649151,-4.15514879358111,0.616667846957564,-6.73806622816683,1.60508411203479e-11,1.29242004801676e-10
"YOL126C",1256.96317167433,-4.1531721025201,0.509500913602928,-8.15145172783108,3.59581212619438e-16,5.83173496387049e-15
"YPR184W",1423.80744047994,-4.14080617094167,0.455956997973207,-9.08157170379693,1.07018144448057e-19,2.67545361120142e-18
"YBR169C",4146.2248152222,-4.13731678832224,0.409172055620434,-10.1114353521742,4.91587126289111e-24,2.30683303115177e-22
"YMR103C",181.200504895942,-4.13352849493329,0.536911745829343,-7.69871124452384,1.37445367063521e-14,1.77514784687829e-13
"YJL153C",26302.9728059151,-4.1298471057757,0.585582581948104,-7.05254430901379,1.75675444277104e-12,1.62216438465552e-11
"YHR138C",1342.15829579539,-4.12719729835105,0.548063567464764,-7.53050839967829,5.0543139489081e-14,5.96617471288637e-13
"YER015W",1531.55771137802,-4.12353512977576,0.580819115348592,-7.09951690777415,1.25193729564922e-12,1.18272954085673e-11
"YNL173C",913.550997238881,-4.11629879409856,0.449126244444993,-9.1651263870925,4.94889473963135e-20,1.28783738110861e-18
"YNR073C",13.7322178229716,-4.11498430260737,1.28936908380628,-3.1914712042418,0.00141550220061735,0.00339069041779678
"YFR017C",516.148036696712,-4.11405457810437,0.49427395533883,-8.32342981795215,8.54538811918809e-17,1.50530298407236e-15
"YIL160C",4359.46268963155,-4.10206980095443,0.623795946015141,-6.57598021782408,4.83336812382091e-11,3.63614093414911e-10
"YPL240C",10663.274443352,-4.10018960633848,0.424278071038797,-9.66392063652883,4.29119457898359e-22,1.53544306029257e-20
"YPL231W",4924.9610147967,-4.09851015827638,0.411308211163173,-9.96457169353818,2.17810638646176e-23,9.16886695771586e-22
"YIL169C",2959.41058659888,-4.09676139162266,0.430054811254732,-9.52613779548219,1.63243739310093e-21,5.25039554803529e-20
"YPR192W",120.189292657567,-4.09293801419968,0.716615685070309,-5.71148259725589,1.1199615169307e-08,5.8715931176083e-08
"YDR171W",8880.04155927128,-4.09106612110828,0.421583740637073,-9.70404151480344,2.89787088082277e-22,1.05670769380321e-20
"YOR019W",513.250859066192,-4.08812780937658,0.686538100871179,-5.95469909709157,2.60550763522246e-09,1.49016295820665e-08
"YMR107W",5575.67246741337,-4.08781869211987,0.766051568673731,-5.33621868198394,9.49049320283152e-08,4.38523596337453e-07
"YMR280C",560.789472623946,-4.07925237340696,0.565045880050309,-7.21932946939418,5.22445381385533e-13,5.25659017299153e-12
"YCR098C",301.849204942614,-4.07852247948121,0.492116314765724,-8.28772051872091,1.15439440668225e-16,1.97280835171818e-15
"YLR267W",451.979458070861,-4.06546132117349,0.785776622594194,-5.17381302048872,2.2936435998138e-07,1.01633975301347e-06
"YER024W",2351.1540527352,-4.06158685221769,0.632389071745989,-6.42260759029863,1.33959503695469e-10,9.42182261703254e-10
"YLR284C",1042.02993313858,-4.06007717021675,0.581464334787911,-6.982504217903,2.89964260121538e-12,2.58171911227964e-11
"YGR204C-A",13.2618396332265,-4.05853870881389,1.2951922783318,-3.13354146462427,0.00172710514628994,0.00405898069068551
"YML128C",3731.66077307631,-4.05674980182521,0.600397316873324,-6.75677536827023,1.4109668418889e-11,1.14578513047006e-10
"YOL016C",1510.09336473123,-4.04618010418833,0.424471746820876,-9.53227189911366,1.53878145419859e-21,4.97713210468189e-20
"YIL124W",820.072785959364,-4.04386571559178,0.486537831354117,-8.31151342196149,9.4489158356121e-17,1.63429133410511e-15
"YMR031C",1593.19234312036,-4.03694213530427,0.449296269846094,-8.98503372103916,2.58654970665637e-19,6.22184750865871e-18
"YCL040W",5508.61203101626,-4.02850688445268,0.403048414152364,-9.99509424426064,1.6013484062325e-23,7.05209201975466e-22
"YNL015W",3237.48183805248,-4.02357548255148,0.416980278357441,-9.64931842436544,4.94835147207175e-22,1.74872297392659e-20
"YCL064C",1441.68408930979,-4.0235170369224,0.419731621066064,-9.58592785242908,9.16302949176093e-22,3.06773940586733e-20
"YOR134W",62.8877143723992,-4.01674413353436,0.925930836902567,-4.33806065577339,1.43745488413515e-05,5.01183265022759e-05
"YIL162W",11338.1223312131,-4.01542739875164,0.437929530172909,-9.16911768239567,4.76906361050915e-20,1.24670726804406e-18
