"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR398W",1297.52724601756,4.68620521767107,0.500117836251624,9.37020213634873,7.23937504896071e-21,2.16991739032985e-19
"YGL147C",3247.83729948079,4.68448706024236,0.600370239383507,7.80266367808745,6.06139347518417e-15,8.18431076543146e-14
"YDL014W",4105.68871732115,4.68270359197308,0.466124303473393,10.0460404168571,9.56331057691201e-24,4.27734008225166e-22
"YPL095C",1176.82322525286,4.68046244929963,0.505376176764987,9.26134365743195,2.01875541584906e-20,5.61037609501742e-19
"YGR035C",206.21039287377,4.66972133333294,0.581630804312899,8.0286692154303,9.85356352238251e-16,1.5043106977504e-14
"YMR290C",1782.93125779149,4.66792664181011,0.518805451660836,8.99745102305078,2.31018830452807e-19,5.62801193337159e-18
"YKL023C-A",403.863327915434,4.66531982009204,0.442020547921522,10.5545315529547,4.84047990791572e-26,2.97975779277608e-24
"YLR363W-A",426.042306562836,4.663886945469,0.452982108572559,10.2959628144385,7.3480750685604e-25,3.72280794402728e-23
"YOR375C",6563.15635635891,4.66008859027404,0.441456044830083,10.5561780042398,4.75635535099492e-26,2.95979721570065e-24
"YNL110C",1231.79409544565,4.65228257558227,0.421223407532031,11.0446914686917,2.32565192355706e-28,1.87526158624847e-26
"YIL104C",297.110782084934,4.64089029116985,0.467134893363218,9.93479690150517,2.93773999273102e-23,1.20132581845608e-21
"YLL012W",332.042582338542,4.6303588253778,0.454262474927461,10.1931352047452,2.12788898093794e-24,1.03238681490421e-22
"YPR137W",907.493495678356,4.62371411047287,0.421929377144824,10.9585024436111,6.04920687587243e-28,4.61756124858262e-26
"YNL113W",1030.64337049108,4.6091887735599,0.422958124301174,10.8975061802521,1.18459551114508e-27,8.8075445471501e-26
"YDR101C",1447.85514238091,4.59726212391152,0.436242038146926,10.5383290052463,5.75116680984094e-26,3.48762999574399e-24
"YPL093W",3491.31109495596,4.59715691288904,0.428354907050145,10.7321215123862,7.19256236731538e-27,4.84440230033889e-25
"YNL175C",920.748991601358,4.58665897925764,0.456465322089227,10.0482090474357,9.35521267090863e-24,4.21721201109858e-22
"YDL039C",374.296940368617,4.58199604626316,0.459947620525001,9.96199532684418,2.23530696197472e-23,9.34097252358048e-22
"YLR022C",658.932349927812,4.57644443708308,0.426520135189126,10.7297265932212,7.38142452111644e-27,4.91379713760367e-25
"YLL034C",583.108796089394,4.57181797946435,0.431724284855564,10.5896706297026,3.32760630378798e-26,2.09346660320728e-24
"YGL225W",414.566663578775,4.57012986338419,0.480854958537754,9.50417539060351,2.01639189380755e-21,6.41324644002679e-20
"YGR187C",803.259332992331,4.55177143418979,0.439589858297913,10.3545870048372,3.98904393617837e-25,2.15446005043596e-23
"YPL128C",151.130939587335,4.54807253454789,0.516138276311834,8.8117327144327,1.23226155323834e-18,2.69709012396411e-17
"YKR081C",1338.86181887246,4.54397338543799,0.417043234844579,10.8956889976441,1.20848384302211e-27,8.86996154013026e-26
"YNR053C",1315.33380525139,4.54226880630361,0.415670677606428,10.9275661022315,8.5100370148691e-28,6.41052130396389e-26
"YLL011W",916.138145631179,4.54220750012807,0.425847363013673,10.6662806785591,1.463685312551e-26,9.52227092540278e-25
"YOL077C",1625.75298911811,4.53528293474946,0.453499220937376,10.0006410713895,1.51413658665816e-23,6.71971469660307e-22
"YBR021W",789.741174401087,4.52896540074551,0.470575000973562,9.62432214073343,6.31217267617418e-22,2.17693907054802e-20
"YLR073C",202.555312936806,4.51474731088722,0.491866908479563,9.17879864055707,4.35927479644485e-20,1.15008517095146e-18
"YHR052W",1668.47866504015,4.51048288516647,0.414647233779974,10.8778800814571,1.46940522131308e-27,1.06485378379967e-25
"YAL025C",1354.07575364089,4.49953262705191,0.430603190221416,10.449371321978,1.47499711261824e-25,8.44435846973944e-24
"YDL167C",521.493632011179,4.49341927213722,0.435912760876306,10.3080700438872,6.47893048229854e-25,3.37198881919628e-23
"YPR010C",2470.0692239147,4.49122442329186,0.442384260122463,10.1523151435103,3.23594277506058e-24,1.54381436560182e-22
"YBR034C",963.868991254221,4.48975340625203,0.444364243269318,10.1037684157924,5.31592857821183e-24,2.47428383010266e-22
"YOR079C",62.8074400567477,4.47701732159939,0.623783975629332,7.17719193905639,7.11577577602488e-13,6.99962479686296e-12
"YLR448W",2606.07701327297,4.47640754500183,0.537183176421551,8.33311194669468,7.8744639828164e-17,1.40440206547115e-15
"YLR002C",494.695691597158,4.46645124569995,0.447249682024409,9.98648277508711,1.74669751768317e-23,7.63346815934057e-22
"YPL126W",1225.13888032252,4.46532321118218,0.447382643482868,9.98099339844679,1.84609147165169e-23,7.82879531496737e-22
"YOR334W",127.519455696862,4.4639420472457,0.520402306189593,8.57786753469804,9.66481585766181e-18,1.90796795810737e-16
"YHR169W",483.460418384719,4.45854368809055,0.434400545543044,10.2636696335566,1.02727108206865e-24,5.06993702141638e-23
"YKL106W",341.416081668595,4.45482174467731,0.479420968570349,9.29208782411364,1.51291017536528e-20,4.30915957908769e-19
"YDR399W",2786.86843215605,4.4304023454902,0.468417155033649,9.45824100992189,3.13166777589654e-21,9.85098792143279e-20
"YDR496C",1260.16572155338,4.41993111967007,0.445462657852642,9.92211365364808,3.33615319484767e-23,1.35457283975198e-21
"YOR310C",3257.47441966475,4.41597511052127,0.501514795832093,8.80527383682562,1.30533492477517e-18,2.82001601673126e-17
"YGR264C",1302.54039793922,4.41051747077635,0.419370682142233,10.5169904778429,7.21411402037954e-26,4.30216695486176e-24
"YCL054W",963.992478699139,4.40366424156315,0.42203134958759,10.4344481656787,1.72613767576156e-25,9.7842952413217e-24
"YOR062C",2076.64801744509,4.40281077064837,0.499180679451622,8.82007447781252,1.14383615192726e-18,2.52836369489712e-17
"YJR070C",2609.24402095061,4.33921515621349,0.444598111186871,9.75985962835019,1.67386743357211e-22,6.43147050818812e-21
